drug	protein	y
CHEMBL1970074	P36888	13.8001
CHEMBL1970074	P45983	11.6
CHEMBL1970074	P45984	11.5
CHEMBL1970074	P48729	11.3
CHEMBL1970074	P48730	11.2
CHEMBL1970074	P49137	11.2
CHEMBL1970074	P49760	11.7
CHEMBL1970074	P49841	11.3
CHEMBL1970074	P51617	11.2
CHEMBL1970074	P51812	11.7
CHEMBL1970074	P51955	11.1
CHEMBL1970074	P52333	11.9
CHEMBL1970074	P53350	11.9
CHEMBL1970074	P53667	11.1
CHEMBL1970074	P53778	11.3
CHEMBL1970074	P68400	11.3
CHEMBL1970074	P78368	11.5
CHEMBL1970074	Q00535	11.1
CHEMBL1970074	Q05397	11.9
CHEMBL1970074	Q08881	11.9
CHEMBL1970074	Q13131	11.3
CHEMBL1970074	Q13153	11.1
CHEMBL1970074	Q13188	11.2
CHEMBL1970074	Q13464	11.9
CHEMBL1970074	Q13554	11.3
CHEMBL1970074	Q13555	11.3
CHEMBL1970074	Q13557	11.3
CHEMBL1970074	Q13627	11.3
CHEMBL1970074	Q13976	11.8
CHEMBL1970074	Q14012	11.3
CHEMBL1970074	Q14289	11.9
CHEMBL1970074	Q14680	11.9
CHEMBL1970074	Q15303	11.5
CHEMBL1970074	Q16513	11.2
CHEMBL1970074	Q16620	12.8
CHEMBL1970074	Q16644	11.1
CHEMBL1970074	Q7KZI7	11.3
CHEMBL1970074	Q96GD4	12.1
CHEMBL1970074	Q96KB5	11.1
CHEMBL1970074	Q96RG2	11.9
CHEMBL1970074	Q96SB4	11.9
CHEMBL1970074	Q9H2G2	11.1
CHEMBL1970074	Q9H2X6	11.6
CHEMBL1970074	Q9H4B4	12.3
CHEMBL1970074	Q9HAZ1	12.1
CHEMBL1970074	Q9HBH9	11.6
CHEMBL1970074	Q9HCP0	11.3
CHEMBL1970074	Q9NWZ3	11.1
CHEMBL1970074	Q9NYL2	11.2
CHEMBL1970074	Q9P1W9	11.9
CHEMBL1970104	O00311	12
CHEMBL1970104	O00444	12.8
CHEMBL1970104	O14757	12
CHEMBL1970104	O14920	11.6
CHEMBL1970104	O14965	13
CHEMBL1970104	O15075	11.1
CHEMBL1970104	O15111	11.8
CHEMBL1970104	O15264	11.2
CHEMBL1970104	O15530	11.9
CHEMBL1970104	O43293	12.1
CHEMBL1970104	O43781	11.3
CHEMBL1970104	O60674	13.4
CHEMBL1970104	O75116	12.1
CHEMBL1970104	O75582	11.8
CHEMBL1970104	O95819	12.6
CHEMBL1970104	O96013	11.9
CHEMBL1970104	O96017	12.6
CHEMBL1970104	P00519	12.9
CHEMBL1970104	P00533	11.8
CHEMBL1970104	P04626	11.9
CHEMBL1970104	P04629	13.3
CHEMBL1970104	P06213	12.3
CHEMBL1970104	P06239	12.3
CHEMBL1970104	P06241	12.7
CHEMBL1970104	P06493	12.5
CHEMBL1970104	P07332	12.7
CHEMBL1970104	P07333	12.6
CHEMBL1970104	P07948	12.7
CHEMBL1970104	P07949	13.4
CHEMBL1970104	P08069	12
CHEMBL1970104	P08581	11.6
CHEMBL1970104	P08922	12
CHEMBL1970104	P10721	12.1
CHEMBL1970104	P11309	11.1
CHEMBL1970104	P11362	12.4
CHEMBL1970104	P12931	12.9
CHEMBL1970104	P15735	12.1
CHEMBL1970104	P17612	11.3
CHEMBL1970104	P17948	13.2
CHEMBL1970104	P22607	12.9
CHEMBL1970104	P23443	12.4
CHEMBL1970104	P24941	12.2
CHEMBL1970104	P27448	12.1
CHEMBL1970104	P28482	11.2
CHEMBL1970104	P29317	11.6
CHEMBL1970104	P29597	12.7
CHEMBL1970104	P30530	13.3
CHEMBL1970104	P31749	11.2
CHEMBL1970104	P31751	11.2
CHEMBL1970104	P35968	12.7
CHEMBL1970104	P36888	14.2002
CHEMBL1970104	P41743	11.4
CHEMBL1970104	P43405	13.9
CHEMBL1970104	P45983	12
CHEMBL1970104	P45984	11.7
CHEMBL1970104	P48729	12
CHEMBL1970104	P48730	12.7
CHEMBL1970104	P49137	11.2
CHEMBL1970104	P49760	12.6
CHEMBL1970104	P49841	12
CHEMBL1970104	P50613	12.8
CHEMBL1970104	P51617	12.6
CHEMBL1970104	P51812	12.2
CHEMBL1970104	P51955	11.4
CHEMBL1970104	P52333	12.5
CHEMBL1970104	P53350	11.2
CHEMBL1970104	P53667	11.8
CHEMBL1970104	P53778	11.3
CHEMBL1970104	P68400	12
CHEMBL1970104	P78368	12.4
CHEMBL1970104	Q00535	12.5
CHEMBL1970104	Q05397	11.9
CHEMBL1970104	Q06187	12
CHEMBL1970104	Q08881	13.8001
CHEMBL1970104	Q13131	13
CHEMBL1970104	Q13153	11.1
CHEMBL1970104	Q13188	12.3
CHEMBL1970104	Q13464	12.4
CHEMBL1970104	Q13554	11.5
CHEMBL1970104	Q13555	11.6
CHEMBL1970104	Q13557	11.4
CHEMBL1970104	Q13627	12.7
CHEMBL1970104	Q13882	11.7
CHEMBL1970104	Q13976	11.8
CHEMBL1970104	Q14012	11.7
CHEMBL1970104	Q14289	12.6
CHEMBL1970104	Q14680	12.4
CHEMBL1970104	Q15303	11.5
CHEMBL1970104	Q16288	14.3
CHEMBL1970104	Q16513	12.4
CHEMBL1970104	Q16620	13
CHEMBL1970104	Q16644	11.1
CHEMBL1970104	Q7KZI7	13.2
CHEMBL1970104	Q96GD4	13.3
CHEMBL1970104	Q96KB5	11.1
CHEMBL1970104	Q96RG2	12.7
CHEMBL1970104	Q96SB4	11.9
CHEMBL1970104	Q9H2G2	12.6
CHEMBL1970104	Q9H2X6	12
CHEMBL1970104	Q9H4B4	11.2
CHEMBL1970104	Q9HAZ1	13.2
CHEMBL1970104	Q9HBH9	11.6
CHEMBL1970104	Q9HCP0	11.9
CHEMBL1970104	Q9NWZ3	12.1
CHEMBL1970104	Q9NYL2	11.2
CHEMBL1970104	Q9P1W9	11.9
CHEMBL1970104	Q9UHD2	12.9
CHEMBL1970104	Q9UM73	12.5
CHEMBL1970104	Q9Y6M4	11.3
CHEMBL1970142	O00311	12
CHEMBL1970142	O00444	13.9
CHEMBL1970142	O14757	11.2
CHEMBL1970142	O14965	14.2002
CHEMBL1970142	O15075	11.1
CHEMBL1970142	O15264	11.2
CHEMBL1970142	O15530	11.5
CHEMBL1970142	O43293	12
CHEMBL1970142	O60674	11.9
CHEMBL1970142	O75116	13.1
CHEMBL1970142	O75582	11.8
CHEMBL1970142	O95819	13.6
CHEMBL1970142	O96013	11.4
CHEMBL1970142	O96017	11.9
CHEMBL1970142	P00519	14.5001
CHEMBL1970142	P00533	11.8
CHEMBL1970142	P04626	11.9
CHEMBL1970142	P04629	14.3
CHEMBL1970142	P06213	11.7
CHEMBL1970142	P06239	15.1
CHEMBL1970142	P06241	13.9
CHEMBL1970142	P06493	11.2
CHEMBL1970142	P07333	14.1
CHEMBL1970142	P07948	14.6003
CHEMBL1970142	P07949	14.6003
CHEMBL1970142	P08069	11.8
CHEMBL1970142	P08581	13.3
CHEMBL1970142	P08922	14.799
CHEMBL1970142	P10721	14.2002
CHEMBL1970142	P11309	11.1
CHEMBL1970142	P11362	13.8001
CHEMBL1970142	P12931	13.9
CHEMBL1970142	P15735	11.4
CHEMBL1970142	P17612	11.2
CHEMBL1970142	P17948	15.4002
CHEMBL1970142	P22607	13.3
CHEMBL1970142	P23443	13.6
CHEMBL1970142	P24941	11.2
CHEMBL1970142	P27448	11.3
CHEMBL1970142	P28482	11.2
CHEMBL1970142	P29317	11.9
CHEMBL1970142	P29597	11.8
CHEMBL1970142	P30530	14.799
CHEMBL1970142	P31749	11.2
CHEMBL1970142	P31751	11.2
CHEMBL1970142	P35968	14.3
CHEMBL1970142	P41743	11.4
CHEMBL1970142	P43405	11.9
CHEMBL1970142	P45983	11.6
CHEMBL1970142	P45984	11.5
CHEMBL1970142	P48729	11.3
CHEMBL1970142	P48730	11.2
CHEMBL1970142	P49137	11.2
CHEMBL1970142	P49760	11.2
CHEMBL1970142	P49841	11.4
CHEMBL1970142	P51617	11.2
CHEMBL1970142	P51812	11.2
CHEMBL1970142	P51955	13.3
CHEMBL1970142	P52333	11.9
CHEMBL1970142	P53778	11.3
CHEMBL1970142	P68400	11.3
CHEMBL1970142	P78368	11.2
CHEMBL1970142	Q00535	11.1
CHEMBL1970142	Q05397	11.9
CHEMBL1970142	Q06187	12
CHEMBL1970142	Q08881	13.9
CHEMBL1970142	Q13131	11.9
CHEMBL1970142	Q13153	11.1
CHEMBL1970142	Q13188	13.6
CHEMBL1970142	Q13464	13.1
CHEMBL1970142	Q13554	11.2
CHEMBL1970142	Q13555	11.3
CHEMBL1970142	Q13557	11.3
CHEMBL1970142	Q13627	11.3
CHEMBL1970142	Q13976	11.8
CHEMBL1970142	Q14012	11.4
CHEMBL1970142	Q14289	11.9
CHEMBL1970142	Q14680	11.9
CHEMBL1970142	Q15303	11.5
CHEMBL1970142	Q16288	12
CHEMBL1970142	Q16513	11.2
CHEMBL1970142	Q16620	14.1
CHEMBL1970142	Q16644	11.1
CHEMBL1970142	Q7KZI7	11.2
CHEMBL1970142	Q96SB4	11.7
CHEMBL1970142	Q9H2G2	14.2002
CHEMBL1970142	Q9H2X6	11.6
CHEMBL1970142	Q9HAZ1	11.1
CHEMBL1970142	Q9HBH9	11.2
CHEMBL1970142	Q9HCP0	11.3
CHEMBL1970142	Q9NWZ3	11.1
CHEMBL1970142	Q9NYL2	11.2
CHEMBL1970142	Q9P1W9	11.9
CHEMBL1970142	Q9UM73	12.8
CHEMBL1970142	Q9Y6M4	11.3
CHEMBL1970189	O00311	12
CHEMBL1970189	O00444	11.5
CHEMBL1970189	O14757	11.2
CHEMBL1970189	O14965	11.9
CHEMBL1970189	O15075	11.1
CHEMBL1970189	O15264	11.2
CHEMBL1970189	O15530	11.5
CHEMBL1970189	O43293	12
CHEMBL1970189	O43781	11.3
CHEMBL1970189	O60674	11.9
CHEMBL1970189	O75116	11.2
CHEMBL1970189	O75582	11.8
CHEMBL1970189	O95819	11.1
CHEMBL1970189	O96013	11.4
CHEMBL1970189	O96017	11.9
CHEMBL1970189	P00519	12.3
CHEMBL1970189	P00533	11.8
CHEMBL1970189	P04626	11.9
CHEMBL1970189	P04629	11.7
CHEMBL1970189	P06213	11.4
CHEMBL1970189	P06239	11.7
CHEMBL1970189	P06241	12.2
CHEMBL1970189	P06493	11.3
CHEMBL1970189	P07333	11.7
CHEMBL1970189	P07948	11.9
CHEMBL1970189	P07949	12
CHEMBL1970189	P08069	11.8
CHEMBL1970189	P08581	11.6
CHEMBL1970189	P08922	13.8001
CHEMBL1970189	P10721	12
CHEMBL1970189	P11309	11.1
CHEMBL1970189	P11362	11.4
CHEMBL1970189	P12931	11.8
CHEMBL1970189	P15735	11.4
CHEMBL1970189	P17612	11.2
CHEMBL1970189	P17948	12.5
CHEMBL1970189	P22607	11.8
CHEMBL1970189	P23443	11.3
CHEMBL1970189	P24941	11.2
CHEMBL1970189	P27448	11.6
CHEMBL1970189	P28482	11.2
CHEMBL1970189	P29317	11.6
CHEMBL1970189	P29597	11.8
CHEMBL1970189	P30530	11.8
CHEMBL1970189	P31749	11.2
CHEMBL1970189	P31751	11.2
CHEMBL1970189	P35968	11.2
CHEMBL1970189	P36888	11.7
CHEMBL1970189	P41743	11.4
CHEMBL1970189	P43405	11.9
CHEMBL1970189	P45983	11.6
CHEMBL1970189	P45984	11.5
CHEMBL1970189	P48729	11.3
CHEMBL1970189	P48730	11.2
CHEMBL1970189	P49137	11.2
CHEMBL1970189	P49760	11.4
CHEMBL1970189	P49841	11.3
CHEMBL1970189	P51617	11.2
CHEMBL1970189	P51812	11.2
CHEMBL1970189	P51955	11.1
CHEMBL1970189	P52333	11.9
CHEMBL1970189	P53350	11.2
CHEMBL1970189	P53667	11.2
CHEMBL1970189	P53778	11.3
CHEMBL1970189	P68400	11.3
CHEMBL1970189	P78368	11.2
CHEMBL1970189	Q00535	11.5
CHEMBL1970189	Q05397	11.9
CHEMBL1970189	Q06187	12
CHEMBL1970189	Q08881	11.9
CHEMBL1970189	Q13131	11.9
CHEMBL1970189	Q13153	11.1
CHEMBL1970189	Q13188	11.2
CHEMBL1970189	Q13464	11.1
CHEMBL1970189	Q13554	11.2
CHEMBL1970189	Q13555	11.3
CHEMBL1970189	Q13557	11.3
CHEMBL1970189	Q13627	11.3
CHEMBL1970189	Q13882	11.7
CHEMBL1970189	Q13976	11.8
CHEMBL1970189	Q14012	11.3
CHEMBL1970189	Q14289	11.9
CHEMBL1970189	Q14680	11.9
CHEMBL1970189	Q15303	11.5
CHEMBL1970189	Q16513	11.2
CHEMBL1970189	Q16620	11.4
CHEMBL1970189	Q16644	11.1
CHEMBL1970189	Q7KZI7	11.2
CHEMBL1970189	Q96GD4	11.3
CHEMBL1970189	Q96KB5	11.1
CHEMBL1970189	Q96SB4	11.2
CHEMBL1970189	Q9H2G2	11.8
CHEMBL1970189	Q9H2X6	11.6
CHEMBL1970189	Q9H4B4	11.2
CHEMBL1970189	Q9HAZ1	11.2
CHEMBL1970189	Q9HBH9	11.1
CHEMBL1970189	Q9HCP0	11.3
CHEMBL1970189	Q9NWZ3	11.1
CHEMBL1970189	Q9NYL2	11.2
CHEMBL1970189	Q9P1W9	11.9
CHEMBL1970189	Q9Y6M4	11.3
CHEMBL1970203	O00311	12
CHEMBL1970203	O00444	13.8001
CHEMBL1970203	O14757	11.2
CHEMBL1970203	O14965	14.7003
CHEMBL1970203	O15075	11.1
CHEMBL1970203	O15264	11.2
CHEMBL1970203	O15530	11.5
CHEMBL1970203	O43293	12
CHEMBL1970203	O43781	11.3
CHEMBL1970203	O60674	11.9
CHEMBL1970203	O75116	11.2
CHEMBL1970203	O75582	11.8
CHEMBL1970203	O95819	13.3
CHEMBL1970203	O96013	11.4
CHEMBL1970203	O96017	14.9013
CHEMBL1970203	P00519	12.3
CHEMBL1970203	P00533	11.8
CHEMBL1970203	P04626	11.9
CHEMBL1970203	P04629	11.7
CHEMBL1970203	P06213	11.4
CHEMBL1970203	P06239	12.1
CHEMBL1970203	P06241	12.2
CHEMBL1970203	P06493	13.2
CHEMBL1970203	P07332	11.8
CHEMBL1970203	P07333	11.9
CHEMBL1970203	P07948	11.9
CHEMBL1970203	P08069	11.8
CHEMBL1970203	P08581	12.4
CHEMBL1970203	P08922	11.8
CHEMBL1970203	P10721	12
CHEMBL1970203	P11309	11.1
CHEMBL1970203	P11362	11.4
CHEMBL1970203	P12931	11.8
CHEMBL1970203	P15735	11.4
CHEMBL1970203	P17612	11.2
CHEMBL1970203	P17948	12.5
CHEMBL1970203	P22607	11.8
CHEMBL1970203	P24941	11.2
CHEMBL1970203	P27448	11.7
CHEMBL1970203	P28482	11.2
CHEMBL1970203	P29317	11.6
CHEMBL1970203	P29597	11.8
CHEMBL1970203	P30530	13.4
CHEMBL1970203	P31749	11.2
CHEMBL1970203	P31751	11.2
CHEMBL1970203	P35968	12
CHEMBL1970203	P36888	12.5
CHEMBL1970203	P41743	11.4
CHEMBL1970203	P43405	11.9
CHEMBL1970203	P45983	11.6
CHEMBL1970203	P45984	11.5
CHEMBL1970203	P48729	11.3
CHEMBL1970203	P48730	11.2
CHEMBL1970203	P49137	11.3
CHEMBL1970203	P49760	11.2
CHEMBL1970203	P49841	11.3
CHEMBL1970203	P51617	11.2
CHEMBL1970203	P51812	11.2
CHEMBL1970203	P51955	11.1
CHEMBL1970203	P52333	11.9
CHEMBL1970203	P53350	11.2
CHEMBL1970203	P53667	11.1
CHEMBL1970203	P53778	11.3
CHEMBL1970203	P68400	11.3
CHEMBL1970203	P78368	11.2
CHEMBL1970203	Q00535	11.1
CHEMBL1970203	Q05397	11.9
CHEMBL1970203	Q06187	12
CHEMBL1970203	Q08881	11.9
CHEMBL1970203	Q13131	12.5
CHEMBL1970203	Q13153	11.1
CHEMBL1970203	Q13188	13.3
CHEMBL1970203	Q13464	11.1
CHEMBL1970203	Q13554	11.2
CHEMBL1970203	Q13555	11.3
CHEMBL1970203	Q13557	11.3
CHEMBL1970203	Q13627	11.3
CHEMBL1970203	Q13882	11.7
CHEMBL1970203	Q13976	11.8
CHEMBL1970203	Q14012	11.4
CHEMBL1970203	Q14289	11.9
CHEMBL1970203	Q14680	11.9
CHEMBL1970203	Q15303	11.5
CHEMBL1970203	Q16288	12
CHEMBL1970203	Q16513	11.2
CHEMBL1970203	Q16620	11.4
CHEMBL1970203	Q16644	11.1
CHEMBL1970203	Q7KZI7	11.2
CHEMBL1970203	Q96KB5	11.1
CHEMBL1970203	Q96SB4	11.7
CHEMBL1970203	Q9H2G2	13
CHEMBL1970203	Q9H2X6	11.6
CHEMBL1970203	Q9H4B4	11.3
CHEMBL1970203	Q9HAZ1	11.1
CHEMBL1970203	Q9HBH9	13.1
CHEMBL1970203	Q9HCP0	11.3
CHEMBL1970203	Q9NWZ3	11.1
CHEMBL1970203	Q9NYL2	11.2
CHEMBL1970203	Q9P1W9	11.9
CHEMBL1970203	Q9UM73	12
CHEMBL1970203	Q9Y6M4	11.3
CHEMBL1970217	O00311	12
CHEMBL1970217	O00444	11.5
CHEMBL1970217	O14757	11.4
CHEMBL1970217	O14965	11.9
CHEMBL1970217	O15075	11.1
CHEMBL1970217	O15264	11.2
CHEMBL1970217	O15530	11.5
CHEMBL1970217	O43293	12
CHEMBL1970217	O60674	11.9
CHEMBL1970217	O75582	12.8
CHEMBL1970217	O95819	11.7
CHEMBL1970217	O96013	11.4
CHEMBL1970217	O96017	11.9
CHEMBL1970217	P00519	12.3
CHEMBL1970217	P00533	11.8
CHEMBL1970217	P04626	11.9
CHEMBL1970217	P04629	11.7
CHEMBL1970217	P06213	11.4
CHEMBL1970217	P06239	11.7
CHEMBL1970217	P06241	12.2
CHEMBL1970217	P06493	11.9
CHEMBL1970217	P07332	11.8
CHEMBL1970217	P07333	11.7
CHEMBL1970217	P07948	11.9
CHEMBL1970217	P07949	12
CHEMBL1970217	P08069	11.8
CHEMBL1970217	P08581	11.6
CHEMBL1970217	P08922	11.8
CHEMBL1970217	P10721	12
CHEMBL1970217	P11309	11.1
CHEMBL1970217	P11362	11.4
CHEMBL1970217	P12931	11.8
CHEMBL1970217	P15735	11.4
CHEMBL1970217	P17612	13.7
CHEMBL1970217	P17948	12.5
CHEMBL1970217	P22607	11.8
CHEMBL1970217	P23443	12.5
CHEMBL1970217	P24941	11.8
CHEMBL1970217	P27448	11.3
CHEMBL1970217	P28482	12.7
CHEMBL1970217	P29317	11.6
CHEMBL1970217	P29597	11.8
CHEMBL1970217	P31749	12.3
CHEMBL1970217	P31751	12
CHEMBL1970217	P35968	11.2
CHEMBL1970217	P36888	11.7
CHEMBL1970217	P41743	11.4
CHEMBL1970217	P43405	11.9
CHEMBL1970217	P45983	11.6
CHEMBL1970217	P45984	11.5
CHEMBL1970217	P48729	11.3
CHEMBL1970217	P48730	11.2
CHEMBL1970217	P49137	11.2
CHEMBL1970217	P49760	11.5
CHEMBL1970217	P49841	12.7
CHEMBL1970217	P51617	12.3
CHEMBL1970217	P51812	12.5
CHEMBL1970217	P51955	11.1
CHEMBL1970217	P52333	11.9
CHEMBL1970217	P53350	11.2
CHEMBL1970217	P53778	11.3
CHEMBL1970217	P68400	11.3
CHEMBL1970217	P78368	11.2
CHEMBL1970217	Q00535	11.2
CHEMBL1970217	Q06187	12
CHEMBL1970217	Q08881	11.9
CHEMBL1970217	Q13131	11.9
CHEMBL1970217	Q13153	11.1
CHEMBL1970217	Q13188	11.2
CHEMBL1970217	Q13464	13.8001
CHEMBL1970217	Q13554	11.2
CHEMBL1970217	Q13555	11.3
CHEMBL1970217	Q13557	11.3
CHEMBL1970217	Q13627	11.7
CHEMBL1970217	Q13976	12.1
CHEMBL1970217	Q14012	11.4
CHEMBL1970217	Q14680	11.9
CHEMBL1970217	Q15303	11.5
CHEMBL1970217	Q16288	12
CHEMBL1970217	Q16513	13.2
CHEMBL1970217	Q16620	11.4
CHEMBL1970217	Q16644	11.1
CHEMBL1970217	Q7KZI7	11.2
CHEMBL1970217	Q96GD4	11.3
CHEMBL1970217	Q96KB5	11.1
CHEMBL1970217	Q96SB4	11.2
CHEMBL1970217	Q9H2G2	11.1
CHEMBL1970217	Q9H2X6	11.6
CHEMBL1970217	Q9H4B4	11.2
CHEMBL1970217	Q9HAZ1	12.2
CHEMBL1970217	Q9HBH9	11.1
CHEMBL1970217	Q9HCP0	11.3
CHEMBL1970217	Q9NWZ3	11.1
CHEMBL1970217	Q9NYL2	11.2
CHEMBL1970217	Q9P1W9	11.9
CHEMBL1970217	Q9UM73	12
CHEMBL1970217	Q9Y6M4	11.3
CHEMBL1970314	O00311	12
CHEMBL1970314	O00444	11.8
CHEMBL1970314	O14757	11.2
CHEMBL1970314	O14965	11.9
CHEMBL1970314	O15075	11.1
CHEMBL1970314	O15264	11.2
CHEMBL1970314	O15530	11.5
CHEMBL1970314	O43293	12
CHEMBL1970314	O43781	11.3
CHEMBL1970314	O60674	11.9
CHEMBL1970314	O75116	11.2
CHEMBL1970314	O75582	11.8
CHEMBL1970314	O95819	12
CHEMBL1970314	O96013	11.4
CHEMBL1970314	O96017	11.9
CHEMBL1970314	P00533	12.6
CHEMBL1970314	P04626	11.9
CHEMBL1970314	P04629	11.7
CHEMBL1970314	P06213	11.4
CHEMBL1970314	P06239	11.7
CHEMBL1970314	P06493	11.2
CHEMBL1970314	P07332	11.8
CHEMBL1970314	P07333	11.7
CHEMBL1970314	P07948	11.9
CHEMBL1970314	P07949	12
CHEMBL1970314	P08069	11.8
CHEMBL1970314	P08581	11.6
CHEMBL1970314	P08922	13.1
CHEMBL1970314	P10721	12
CHEMBL1970314	P11309	11.2
CHEMBL1970314	P11362	11.4
CHEMBL1970314	P12931	11.8
CHEMBL1970314	P15735	11.4
CHEMBL1970314	P17612	11.2
CHEMBL1970314	P22607	11.8
CHEMBL1970314	P23443	11.3
CHEMBL1970314	P24941	11.2
CHEMBL1970314	P27448	11.3
CHEMBL1970314	P28482	11.2
CHEMBL1970314	P29317	11.6
CHEMBL1970314	P29597	11.8
CHEMBL1970314	P30530	11.9
CHEMBL1970314	P31749	11.2
CHEMBL1970314	P31751	11.2
CHEMBL1970314	P35968	11.2
CHEMBL1970314	P36888	12.2
CHEMBL1970314	P41743	11.4
CHEMBL1970314	P43405	11.9
CHEMBL1970314	P45983	11.6
CHEMBL1970314	P45984	11.5
CHEMBL1970314	P48729	11.3
CHEMBL1970314	P48730	11.2
CHEMBL1970314	P49137	11.2
CHEMBL1970314	P49760	11.2
CHEMBL1970314	P49841	11.3
CHEMBL1970314	P51617	11.2
CHEMBL1970314	P51812	11.2
CHEMBL1970314	P51955	11.1
CHEMBL1970314	P52333	11.9
CHEMBL1970314	P53350	11.2
CHEMBL1970314	P53667	11.1
CHEMBL1970314	P53778	11.3
CHEMBL1970314	P68400	11.3
CHEMBL1970314	P78368	11.2
CHEMBL1970314	Q00535	11.1
CHEMBL1970314	Q05397	11.9
CHEMBL1970314	Q06187	12
CHEMBL1970314	Q08881	11.9
CHEMBL1970314	Q13131	11.9
CHEMBL1970314	Q13153	11.1
CHEMBL1970314	Q13188	11.2
CHEMBL1970314	Q13464	11.1
CHEMBL1970314	Q13554	11.2
CHEMBL1970314	Q13555	11.3
CHEMBL1970314	Q13557	11.3
CHEMBL1970314	Q13627	11.4
CHEMBL1970314	Q13882	11.7
CHEMBL1970314	Q13976	11.8
CHEMBL1970314	Q14012	11.6
CHEMBL1970314	Q14289	11.9
CHEMBL1970314	Q14680	11.9
CHEMBL1970314	Q15303	11.5
CHEMBL1970314	Q16288	12.1
CHEMBL1970314	Q16513	11.2
CHEMBL1970314	Q16620	11.4
CHEMBL1970314	Q16644	11.1
CHEMBL1970314	Q7KZI7	11.2
CHEMBL1970314	Q96GD4	12.3
CHEMBL1970314	Q96KB5	11.1
CHEMBL1970314	Q96SB4	11.2
CHEMBL1970314	Q9H2G2	11.1
CHEMBL1970314	Q9H2X6	11.6
CHEMBL1970314	Q9H4B4	11.2
CHEMBL1970314	Q9HAZ1	11.1
CHEMBL1970314	Q9HBH9	12.3
CHEMBL1970314	Q9HCP0	11.3
CHEMBL1970314	Q9NWZ3	12.4
CHEMBL1970314	Q9NYL2	11.2
CHEMBL1970314	Q9P1W9	11.9
CHEMBL1970314	Q9UM73	12
CHEMBL1970314	Q9Y6M4	11.3
CHEMBL1970340	O00311	12
CHEMBL1970340	O00444	11.8
CHEMBL1970340	O14757	11.2
CHEMBL1970340	O14965	10.6
CHEMBL1970340	O15075	11.1
CHEMBL1970340	O15264	11.2
CHEMBL1970340	O15530	11.5
CHEMBL1970340	O43293	10.7
CHEMBL1970340	O43781	11.3
CHEMBL1970340	O60674	11.9
CHEMBL1970340	O75116	12.7
CHEMBL1970340	O75582	12.3
CHEMBL1970340	O95819	10.8
CHEMBL1970340	O96013	11.4
CHEMBL1970340	O96017	11.9
CHEMBL1970340	P00519	12.1
CHEMBL1970340	P00533	11.8
CHEMBL1970340	P04626	11.9
CHEMBL1970340	P04629	11.7
CHEMBL1970340	P06213	11.4
CHEMBL1970340	P06239	10.7
CHEMBL1970340	P06241	11.2
CHEMBL1970340	P06493	11.2
CHEMBL1970340	P07332	11.8
CHEMBL1970340	P07333	11.4
CHEMBL1970340	P07948	11.9
CHEMBL1970340	P07949	12.2
CHEMBL1970340	P08069	11.8
CHEMBL1970340	P08581	11
CHEMBL1970340	P08922	11.8
CHEMBL1970340	P10721	12
CHEMBL1970340	P11309	11
CHEMBL1970340	P11362	10.9
CHEMBL1970340	P12931	12
CHEMBL1970340	P15735	11.4
CHEMBL1970340	P16234	11.3
CHEMBL1970340	P17612	11.7
CHEMBL1970340	P17948	11.1
CHEMBL1970340	P22607	11.8
CHEMBL1970340	P23443	13
CHEMBL1970340	P24941	11.2
CHEMBL1970340	P27448	11.3
CHEMBL1970340	P28482	11.2
CHEMBL1970340	P29317	11.6
CHEMBL1970340	P29597	11.8
CHEMBL1970340	P30530	11.8
CHEMBL1970340	P31749	11.2
CHEMBL1970340	P31751	11.2
CHEMBL1970340	P34947	10.2
CHEMBL1970340	P35968	11.2
CHEMBL1970340	P36507	11.2
CHEMBL1970340	P36888	11.1
CHEMBL1970340	P41743	11.4
CHEMBL1970340	P43405	11.9
CHEMBL1970340	P45983	10.7
CHEMBL1970340	P45984	11.5
CHEMBL1970340	P48729	11.4
CHEMBL1970340	P48730	11.3
CHEMBL1970340	P49137	11.2
CHEMBL1970340	P49336	12.4
CHEMBL1970340	P49760	10.8
CHEMBL1970340	P49841	10.4
CHEMBL1970340	P50613	10.8
CHEMBL1970340	P50750	10.9
CHEMBL1970340	P51617	11.2
CHEMBL1970340	P51812	10.8
CHEMBL1970340	P51955	11.1
CHEMBL1970340	P52333	11.9
CHEMBL1970340	P53350	11.2
CHEMBL1970340	P53667	11.7
CHEMBL1970340	P53778	11.3
CHEMBL1970340	P68400	11.3
CHEMBL1970340	P78368	11.2
CHEMBL1970340	Q00535	11.3
CHEMBL1970340	Q02750	11.9
CHEMBL1970340	Q04759	10.8
CHEMBL1970340	Q04771	12.3
CHEMBL1970340	Q04912	10.8
CHEMBL1970340	Q05397	10.5
CHEMBL1970340	Q06187	10.5
CHEMBL1970340	Q07912	10.7
CHEMBL1970340	Q08881	11.9
CHEMBL1970340	Q13131	10.7
CHEMBL1970340	Q13153	11.1
CHEMBL1970340	Q13188	11.3
CHEMBL1970340	Q13464	12.1
CHEMBL1970340	Q13554	11.2
CHEMBL1970340	Q13555	11.3
CHEMBL1970340	Q13557	11.7
CHEMBL1970340	Q13627	11.8
CHEMBL1970340	Q13976	11.8
CHEMBL1970340	Q14012	11.4
CHEMBL1970340	Q14289	11.9
CHEMBL1970340	Q14680	11.9
CHEMBL1970340	Q15303	11.5
CHEMBL1970340	Q16288	10.6
